element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)													
Sc_sv	-2.03354347 	-15.27203521 	-11.8244474 	-24.49649207 	-24.49538109 	-2.40711174 	-2.34465393 	-4.18531859999999 	 11.6315685999999 	-4.18420761999999 	 11.6304576199999 	-1.77820685999999 	-1.77709587999999 			-2.40711174 	 6.24578099999997E-02 	-1.84066466999999 	 9.10531859999999 				 8.61531859999999 	 9.10531859999999 	 7.99531859999999 	-7.99531859999999 
Sn	-0.66980323 	-12.55893337 	-8.7715714 	-16.67702559 	-16.67626753 	-1.05775014 	-0.65551817 	 2.27040763999999 	 5.17584236 	 2.27116569999999 	 5.1750843 	 3.32815777999999 	 3.32891583999999 			-1.05775014 	 0.40223197 	 2.92592580999999 	 2.64959236000001 				 2.15959236000001 	 2.92592580999999 	 1.81592580999999 	-1.81592580999999 
Sn_d	-0.69951373 	-12.56832115 	-8.76078543 	-16.68387636 	-16.68273828 	-1.03742742 	-0.615021700000001 	 2.29326736999999 	 5.15298263 	 2.29440544999999 	 5.15184455 	 3.33069478999999 	 3.33183286999999 			-1.03742742 	 0.422405719999999 	 2.90828906999999 	 2.62673263000001 				 2.13673263000001 	 2.90828906999999 	 1.79828906999999 	-1.79828906999999 
Sr_sv	-0.02810631 	-12.1050494 	-6.89547294 	-16.21824366 	-16.28260515 	-1.24556309 	 0.578883369999998 	 2.08749264999999 	 5.35875734999999 	 2.02313115999999 	 5.42311883999999 	 3.33305573999999 	 3.26869424999999 			-1.24556309 	 1.82444646 	 1.50860927999999 	 2.83250735000001 				 2.34250735000001 	 2.83250735000001 	 1.72250735000001 	-1.72250735000001 
Ta	-3.48643875 	-16.74672836 	-14.30927614 	-27.50225555 	-27.503154 	-2.42890961 	-3.37658739 	-5.7381868 	 13.1844368 	-5.73908524999999 	 13.1853352499999 	-3.30927719 	-3.31017563999999 			-2.42890961 	-0.94767778 	-2.36159941 	 10.6581868 				 10.1681868 	 10.6581868 	 9.5481868 	-9.5481868 
Tc_pv	-3.29859887 	-15.07589733 	-11.63086099 	-24.09969118 	-24.0988958 	-0.945918460000001 	-0.88601212 	-2.52346231 	 9.96971231 	-2.52266693 	 9.96891693 	-1.57754385 	-1.57674847 			-0.945918460000001 	 5.99063400000011E-02 	-1.63745019 	 7.44346231 				 6.95346231 	 7.44346231 	 6.33346231 	-6.33346231 
Ti	-2.32134522 	-15.29639943 	-12.04416784 	-24.83707417 	-24.83791874 	-2.14367421 	-2.27657262 	-4.23809895 	 11.68434895 	-4.23894351999999 	 11.6851935199999 	-2.09442474 	-2.09526930999999 			-2.14367421 	-0.13289841 	-1.96152633 	 9.15809895 				 8.66809895 	 9.15809895 	 8.04809895 	-8.04809895 
Ti_pv	-2.38859205 	-15.39555062 	-12.34069551 	-25.18798453 	-25.18832388 	-2.17557857 	-2.50585346 	-4.52176248 	 11.96801248 	-4.52210183 	 11.96835183 	-2.34618391 	-2.34652325999999 			-2.17557857 	-0.33027489 	-2.01590902 	 9.44176248 				 8.95176248 	 9.44176248 	 8.33176248 	-8.33176248 
Ti_sv	-2.39918617 	-15.25417917 	-12.40330451 	-25.27600435 	-25.27243911 	-2.023613 	-2.55786834 	-4.59918818 	 12.04543818 	-4.59562294 	 12.04187294 	-2.57557518 	-2.57200994 			-2.023613 	-0.53425534 	-2.04131984 	 9.51918818 				 9.02918818 	 9.51918818 	 8.40918818 	-8.40918818 
V_sv	-3.59544784 	-16.12532303 	-12.85296996 	-25.07383234 	-25.34738786 	-1.69849519 	-1.81127212 	-3.2007545 	 10.6470045 	-3.47431002 	 10.92056002 	-1.50225931 	-1.77581483 			-1.69849519 	-0.11277693 	-1.38948238 	 8.1207545 				 7.6307545 	 8.1207545 	 7.0107545 	-7.0107545 
W_sv	-4.57140103 	-16.55869237 	-14.03985321 	-26.93494496 	-26.93316475 	-1.15591133999999 	-2.02220218 	-4.08591393 	 11.53216393 	-4.08413372 	 11.53038372 	-2.93000259 	-2.92822238 			-1.15591133999999 	-0.86629084000001 	-2.06371175 	 9.00591393 				 8.51591393 	 9.00591393 	 7.89591393 	-7.89591393 
Y_sv	-2.1574366 	-15.84283194 	-12.052954 	-24.54988084 	-24.55026232 	-2.85401534 	-2.4492674 	-4.11481424 	 11.56106424 	-4.11519572 	 11.56144572 	-1.2607989 	-1.26118038 			-2.85401534 	 0.40474794 	-1.66554684 	 9.03481424 				 8.54481424 	 9.03481424 	 7.92481424 	-7.92481424 
Zn	-0.01073299 	-9.71168824 	-3.80193805 	-13.67815652 	-13.8254229 	 1.13042474999999 	 3.65504493999999 	 4.61020646999999 	 2.83604353 	 4.46294008999999 	 2.98330991 	 3.47978172 	 3.33251534 			 1.13042474999999 	 2.52462019 	 0.95516153 	 0.30979353000001 				-0.18020646999999 	 2.52462019 	 1.41462019 	-1.41462019 
Zr_sv	-2.24445414 	-15.65458808 	-12.84057625 	-26.03672796 	-26.03725568 	-2.57875394 	-3.14987211 	-5.51464382 	 12.9608938199999 	-5.51517154 	 12.96142154 	-2.93588987999999 	-2.9364176 			-2.57875394 	-0.57111817 	-2.36477171 	 10.43464382 				 9.94464382 	 10.43464382 	 9.32464382 	-9.32464382 
