element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Sn	-0.07570353 	-12.3366863 	-8.74246222 	-18.31789143 	-18.31821653 	-1.42960277 	-1.22050869 	 3.54420999999973E-02 	 7.4108079 	 0.035116999999996 	 7.411133 	 1.46504486999999 	 1.46471976999999 			-1.42960277 	 0.20909408 	 1.25595079 	 4.3945579 	 4.3945579 	 3.2845579 	-3.2845579 
Sn_d	-0.09847975 	-12.34039497 	-8.72915899 	-18.29916847 	-18.29744173 	-1.41053522 	-1.18442924 	 7.69412799999962E-02 	 7.36930872 	 7.86680199999985E-02 	 7.36758198 	 1.48747649999999 	 1.48920324 			-1.41053522 	 0.22610598 	 1.26137052 	 4.35305872 	 4.35305872 	 3.24305872 	-3.24305872 
Sr_sv	-0.02902519 	-12.09925826 	-6.99583326 	-16.0792945 	-16.07921805 	-1.23885306999999 	 0.479441929999998 	 2.22736068999999 	 5.21888931 	 2.22743713999999 	 5.21881286 	 3.46621375999999 	 3.46629020999999 			-1.23885306999999 	 1.71829499999999 	 1.74791875999999 	 2.20263931000001 	 2.20263931000001 	 1.09263931000001 	-1.09263931000001 
Ta	-2.24453719 	-16.01051413 	-13.8843877 	-27.41366305 	-27.41429501 	-2.93459694 	-4.19360051 	-6.89149586 	 14.33774586 	-6.89212782 	 14.33837782 	-3.95689892 	-3.95753088 			-2.93459694 	-1.25900357 	-2.69789535 	 11.32149586 	 11.32149586 	 10.21149586 	-10.21149586 
Tc_pv	-0.26861296 	-13.10696932 	-10.51132673 	-23.53546265 	-23.53482703 	-2.00697635999999 	-2.79646377 	-4.98921969 	 12.43546969 	-4.98858407 	 12.4348340699999 	-2.98224333 	-2.98160771 			-2.00697635999999 	-0.78948741000001 	-2.19275592 	 9.41921969 	 9.41921969 	 8.30921969 	-8.30921969 
Ti	-1.13649061 	-14.43805675 	-11.20286784 	-24.4086121 	-24.4094893 	-2.47018613999999 	-2.62012723 	-4.99449149 	 12.44074149 	-4.99536869 	 12.44161869 	-2.52430535 	-2.52518255 			-2.47018613999999 	-0.14994109000001 	-2.37436426 	 9.42449149 	 9.42449149 	 8.31449149 	-8.31449149 
Ti_pv	-1.245912 	-14.63552684 	-11.53779821 	-24.77077704 	-24.771759 	-2.55823484 	-2.84563621 	-5.24723504 	 12.6934850399999 	-5.248217 	 12.694467 	-2.68900019999999 	-2.68998215999999 			-2.55823484 	-0.28740137 	-2.40159883 	 9.67723504 	 9.67723504 	 8.56723504 	-8.56723504 
Ti_sv	-1.32049343 	-14.69035441 	-11.62133507 	-24.8648079 	-24.86568908 	-2.53848097999999 	-2.85459164 	-5.26668447 	 12.71293447 	-5.26756565 	 12.71381565 	-2.72820349 	-2.72908467 			-2.53848097999999 	-0.31611066000001 	-2.41209283 	 9.69668447 	 9.69668447 	 8.58668447 	-8.58668447 
V_sv	-0.87096196 	-14.0981168 	-11.25201529 	-24.30791057 	-24.30780297 	-2.39577483999999 	-2.93480332999999 	-5.15931861 	 12.60556861 	-5.15921101 	 12.60546101 	-2.76354377 	-2.76343617 			-2.39577483999999 	-0.53902849 	-2.22451528000001 	 9.58931861 	 9.58931861 	 8.47931861 	-8.47931861 
W_sv	-1.66721017 	-15.11098733 	-13.11395083 	-26.1257104 	-26.12560467 	-2.61239716 	-4.00049066 	-6.18087023 	 13.62712023 	-6.1807645 	 13.6270145 	-3.56847306999999 	-3.56836734 			-2.61239716 	-1.3880935 	-2.18037957 	 10.61087023 	 10.61087023 	 9.50087023 	-9.50087023 
Y_sv	-1.94016162 	-15.89389789 	-11.92771534 	-24.66974296 	-24.6693932 	-3.12235627 	-2.54130372 	-4.45195134 	 11.89820134 	-4.45160157999999 	 11.8978515799999 	-1.32959506999999 	-1.32924530999999 			-3.12235627 	 0.58105255 	-1.91064762 	 8.88195134 	 8.88195134 	 7.77195134 	-7.77195134 
Zn	-0.0104292 	-9.4381194 	-3.7081338 	-13.45106476 	-13.45091595 	 1.4036898 	 3.74854539999999 	 4.83699444 	 2.60925555999999 	 4.83714324999999 	 2.60910675 	 3.43330463999999 	 3.43345344999999 			 1.4036898 	 2.34485559999999 	 1.08844904000001 	-0.40699444 	 2.34485559999999 	 1.23485559999999 	-1.23485559999999 
Zr_sv	-1.40273136 	-15.25965129 	-12.50569033 	-25.74726974 	-25.74836542 	-3.02553993 	-3.65670897 	-6.06690838 	 13.51315838 	-6.06800406 	 13.5142540599999 	-3.04136845 	-3.04246412999999 			-3.02553993 	-0.63116904 	-2.41019941 	 10.49690838 	 10.49690838 	 9.38690838 	-9.38690838 
