element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Sn	-0.66982842 	-12.56023549 	-8.77175761 	-16.68981606 	-16.68934247 	-1.05902707 	-0.65567919 	 2.25764236 	 5.18860763999999 	 2.25811595 	 5.18813405 	 3.31666943 	 3.31714302 			-1.05902707 	 0.40334788 	 2.91332155 	 2.17235764 	 2.91332155 	 1.80332155 	-1.80332155 
Sn_d	-0.69953893 	-12.56932163 	-8.76098173 	-16.69665057 	-16.69487683 	-1.0384027 	-0.6151928 	 2.28051835999999 	 5.16573164 	 2.28229209999999 	 5.1639579 	 3.31892105999999 	 3.3206948 			-1.0384027 	 0.4232099 	 2.89571115999999 	 2.14948164000001 	 2.89571115999999 	 1.78571115999999 	-1.78571115999999 
Sr_sv	-0.02824711 	-12.12260531 	-6.89568382 	-16.23134457 	-16.29664816 	-1.2629782 	 0.578813289999998 	 2.07453253999999 	 5.37171746 	 2.00922894999999 	 5.43702105 	 3.33751073999999 	 3.27220714999999 			-1.2629782 	 1.84179149 	 1.49571924999999 	 2.35546746000001 	 2.35546746000001 	 1.24546746000001 	-1.24546746000001 
Ta	-3.4864866 	-16.75043985 	-14.30940045 	-27.51515545 	-27.51312409 	-2.43257325 	-3.37666385 	-5.75103885 	 13.19728885 	-5.74900749 	 13.19525749 	-3.3184656 	-3.31643424 			-2.43257325 	-0.9440906 	-2.374375 	 10.18103885 	 10.18103885 	 9.07103885 	-9.07103885 
Tc_pv	-3.3511673 	-15.07755431 	-11.63106425 	-24.10837843 	-23.74074728 	-0.89500701 	-0.83364695 	-2.47958112999999 	 9.92583112999999 	-2.11194998 	 9.55819998 	-1.58457411999999 	-1.21694297 			-0.89500701 	 0.06136006 	-1.64593417999999 	 6.90958112999999 	 6.90958112999999 	 5.79958112999999 	-5.79958112999999 
Ti	-2.45024583 	-15.3030516 	-12.04425008 	-24.85124392 	-24.84997307 	-2.02142577 	-2.14775425 	-4.12336809 	 11.56961809 	-4.12209724 	 11.56834724 	-2.10194232 	-2.10067147 			-2.02142577 	-0.12632848 	-1.97561384 	 8.55336809 	 8.55336809 	 7.44336809 	-7.44336809 
Ti_pv	-2.5138598 	-15.40245241 	-12.34070399 	-25.20193224 	-25.20181196 	-2.05721261 	-2.38059419 	-4.41044244 	 11.85669244 	-4.41032216 	 11.85657216 	-2.35322983 	-2.35310955 			-2.05721261 	-0.32338158 	-2.02984825 	 8.84044244 	 8.84044244 	 7.73044244 	-7.73044244 
Ti_sv	-2.39924092 	-15.43547334 	-12.40334448 	-25.28780791 	-25.28753666 	-2.20485242 	-2.55785356 	-4.61093699 	 12.05718699 	-4.61066574 	 12.05691574 	-2.40608457 	-2.40581332 			-2.20485242 	-0.35300114 	-2.05308343 	 9.04093699 	 9.04093699 	 7.93093699 	-7.93093699 
V_sv	-3.59549258 	-16.13128105 	-12.8530208 	-25.36253535 	-25.36219204 	-1.70440846999999 	-1.81127822 	-3.48941277 	 10.93566277 	-3.48906945999999 	 10.93531946 	-1.7850043 	-1.78466099 			-1.70440846999999 	-0.10686975000001 	-1.67813455 	 7.91941277 	 7.91941277 	 6.80941277 	-6.80941277 
W_sv	-4.57143432 	-16.56183969 	-14.03992785 	-26.94627359 	-26.94394802 	-1.15902537 	-2.02224353 	-4.09720927 	 11.54345927 	-4.0948837 	 11.5411337 	-2.9381839 	-2.93585833 			-1.15902537 	-0.86321816 	-2.07496574 	 8.52720927 	 8.52720927 	 7.41720927 	-7.41720927 
Y_sv	-2.15753452 	-15.85275485 	-12.05307665 	-24.56367617 	-24.5645004 	-2.86384033 	-2.44929213 	-4.12851165 	 11.57476165 	-4.12933588 	 11.57558588 	-1.26467132 	-1.26549555 			-2.86384033 	 0.4145482 	-1.67921952 	 8.55851165 	 8.55851165 	 7.44851165 	-7.44851165 
Zn	-0.01074644 	-9.72194941 	-3.80223916 	-13.69678703 	-13.85090047 	 1.12017702999999 	 3.65475727999999 	 4.59158940999999 	 2.85466059 	 4.43747596999999 	 3.00877402999999 	 3.47141238 	 3.31729894 			 1.12017702999999 	 2.53458025 	 0.93683213 	-0.161589409999991 	 2.53458025 	 1.42458025 	-1.42458025 
Zr_sv	-2.24452879 	-15.66274332 	-12.84061013 	-26.04957385 	-26.05040607 	-2.58683453 	-3.14983134 	-5.52741506 	 12.97366506 	-5.52824728 	 12.97449728 	-2.94058053 	-2.94141275 			-2.58683453 	-0.56299681 	-2.37758372 	 9.95741506 	 9.95741506 	 8.84741506 	-8.84741506 
